episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
0,1.2750,1.2750,0.9950,0.000551,0,100
1,1.4150,1.4150,0.9900,0.000486,0,100
2,1.2800,1.2800,0.9851,0.000284,0,100
3,1.2200,1.2200,0.9801,0.000234,0,100
4,1.5550,1.5550,0.9752,0.000241,0,100
5,1.9600,1.9600,0.9704,0.000791,1,100
6,2.1800,2.1800,0.9655,0.001108,1,100
7,1.9000,1.9000,0.9607,0.001666,1,100
8,1.4400,1.4400,0.9559,0.000903,0,100
9,3.2800,3.2800,0.9511,0.000585,0,100
10,1.4000,1.4525,0.9464,0.000958,0,100
11,1.1600,1.5013,0.9416,0.000692,0,100
12,1.2200,1.5405,0.9369,0.000419,0,100
13,1.4800,1.5814,0.9322,0.000716,0,100
14,1.3950,1.6274,0.9276,0.000734,0,100
15,1.6200,1.6666,0.9229,0.000526,0,100
16,1.3950,1.6923,0.9183,0.000777,0,100
17,1.2950,1.6997,0.9137,0.000734,0,100
18,1.7800,1.6967,0.9092,0.000454,0,100
19,1.2950,1.6989,0.9046,0.000575,0,100
20,3.3950,1.6643,0.9001,0.000667,0,100
21,1.3000,1.6483,0.8956,0.000386,0,100
22,1.2600,1.6363,0.8911,0.000556,0,100
23,1.4600,1.6253,0.8867,0.000495,0,100
24,1.7350,1.6115,0.8822,0.000543,0,100
25,1.5150,1.6027,0.8778,0.000584,0,100
26,1.4800,1.5963,0.8734,0.000700,0,100
27,1.2200,1.5985,0.8691,0.000471,0,100
28,1.5200,1.6061,0.8647,0.000768,0,100
29,1.3000,1.6076,0.8604,0.000554,0,100
30,1.9600,1.6291,0.8561,0.000807,1,100
31,3.8000,1.6162,0.8518,0.000893,0,100
32,1.5800,1.6270,0.8475,0.000575,0,100
33,1.8350,1.6405,0.8433,0.000575,0,100
34,1.3400,1.6580,0.8391,0.000680,0,100
35,1.5400,1.6682,0.8349,0.000461,0,100
36,1.7200,1.6796,0.8307,0.000644,0,100
37,1.4550,1.6926,0.8266,0.000564,0,100
38,2.1400,1.7087,0.8224,0.000960,1,100
39,1.5000,1.7336,0.8183,0.000388,0,100
40,1.7800,1.7605,0.8142,0.000892,0,100
41,1.2600,1.7998,0.8102,0.000643,0,100
42,1.5600,1.7889,0.8061,0.000504,0,100
43,1.4400,1.7745,0.8021,0.000538,0,100
44,1.3750,1.7524,0.7981,0.000887,0,100
45,3.3000,1.7346,0.7941,0.000531,0,100
46,1.6550,1.7341,0.7901,0.001037,0,100
47,1.3400,1.7306,0.7862,0.000427,0,100
48,1.6200,1.7236,0.7822,0.000618,0,100
49,1.5550,1.7052,0.7783,0.000723,0,100
50,1.5400,1.6854,0.7744,0.000551,0,100
51,3.6400,1.6649,0.7705,0.000648,0,100
52,1.6200,1.6937,0.7667,0.001069,0,100
53,1.3400,1.7232,0.7629,0.000521,0,100
54,1.4600,1.7557,0.7590,0.000785,0,100
55,1.7600,1.7887,0.7553,0.000624,0,100
56,1.9800,1.7887,0.7515,0.000637,0,100
57,1.4350,1.7926,0.7477,0.000766,0,100
58,1.5400,1.7986,0.7440,0.001028,0,100
59,1.8750,1.8090,0.7403,0.000679,0,100
60,1.7600,1.8221,0.7366,0.000718,0,100
61,2.3400,1.8397,0.7329,0.000796,1,100
62,2.2000,1.8206,0.7292,0.000793,1,100
63,2.0400,1.8066,0.7256,0.000910,0,100
64,1.7000,1.8007,0.7219,0.000573,0,100
65,1.7750,1.7963,0.7183,0.000690,0,100
66,1.5400,1.8074,0.7147,0.000751,0,100
67,1.5000,1.8109,0.7112,0.000386,0,100
68,1.8400,1.8141,0.7076,0.000567,0,100
69,3.3400,1.8211,0.7041,0.000615,0,100
70,1.6600,1.8396,0.7005,0.000823,0,100
71,1.2800,1.8548,0.6970,0.000786,0,100
72,1.6600,1.8725,0.6936,0.000695,0,100
73,1.6800,1.8789,0.6901,0.000921,0,100
74,1.8800,1.8748,0.6866,0.000865,0,100
75,2.4400,1.8700,0.6832,0.000987,1,100
76,1.9400,1.8718,0.6798,0.000413,0,100
77,1.6200,1.8819,0.6764,0.000893,0,100
78,1.8400,1.8926,0.6730,0.000982,0,100
79,1.4800,1.9003,0.6696,0.000745,0,100
80,2.1600,1.8748,0.6663,0.000622,1,100
81,2.3800,1.8552,0.6630,0.000624,1,100
82,2.0350,1.8573,0.6597,0.000809,0,100
83,1.6000,1.8685,0.6564,0.000580,0,100
84,1.5950,1.8825,0.6531,0.001026,0,100
85,1.4800,1.8918,0.6498,0.001117,0,100
86,1.4200,1.8849,0.6466,0.000875,0,100
87,1.7600,1.8688,0.6433,0.000983,0,100
88,1.4600,1.8529,0.6401,0.000928,0,100
89,1.9000,1.8332,0.6369,0.000828,0,100
90,2.0200,1.8363,0.6337,0.001062,1,100
91,1.4200,1.8330,0.6306,0.000878,0,100
92,1.2400,1.8091,0.6274,0.000796,0,100
93,3.5800,1.7735,0.6243,0.000682,0,100
94,1.9400,1.7585,0.6211,0.000645,0,100
95,2.0000,1.7498,0.6180,0.000710,0,100
96,2.0200,1.7559,0.6149,0.000716,0,100
97,1.8200,1.7732,0.6119,0.000686,0,100
98,2.0600,1.7897,0.6088,0.000684,0,100
99,1.6000,1.8160,0.6058,0.000941,0,100
100,1.7150,1.8351,0.6027,0.000888,0,100
101,1.5600,1.8526,0.5997,0.000615,0,100
102,4.1400,1.8810,0.5967,0.000810,0,100
103,1.9200,1.9464,0.5937,0.000608,0,100
104,2.0400,1.9754,0.5908,0.000472,0,100
105,2.0400,2.0019,0.5878,0.000818,0,100
106,1.9800,2.0237,0.5849,0.000521,0,100
107,1.7000,2.0391,0.5820,0.000827,0,100
108,1.8600,2.0526,0.5790,0.000694,0,100
109,1.4800,2.0582,0.5762,0.000624,0,100
110,3.3200,2.0655,0.5733,0.000738,0,100
111,1.6600,2.0920,0.5704,0.000690,0,100
112,1.9000,2.1180,0.5676,0.000735,0,100
113,2.0800,2.0926,0.5647,0.000441,0,100
114,2.2600,2.0855,0.5619,0.000457,0,100
115,1.7800,2.0796,0.5591,0.000485,0,100
116,2.0200,2.0706,0.5563,0.000993,0,100
117,4.2800,2.0625,0.5535,0.000493,1,100
118,1.8600,2.0813,0.5507,0.000605,0,100
119,1.9400,2.1021,0.5480,0.000677,0,100
120,1.7600,2.1288,0.5452,0.000350,0,100
121,3.9800,2.1238,0.5425,0.000787,0,100
122,2.1600,2.1410,0.5398,0.000343,0,100
123,2.0600,2.1832,0.5371,0.001349,0,100
124,2.0200,2.2236,0.5344,0.000598,0,100
125,3.9400,2.2594,0.5318,0.001016,0,100
126,2.0400,2.3194,0.5291,0.000709,0,100
127,1.9400,2.3792,0.5264,0.000432,0,100
128,2.1000,2.3898,0.5238,0.000752,1,100
129,1.9000,2.4028,0.5212,0.001206,0,100
130,2.6000,2.4108,0.5186,0.000687,1,100
131,1.4800,2.4428,0.5160,0.000799,0,100
132,2.0200,2.4266,0.5134,0.000325,0,100
133,2.3000,2.4064,0.5108,0.000620,0,100
134,1.9800,2.3888,0.5083,0.000513,0,100
135,1.6800,2.3732,0.5058,0.000936,0,100
136,2.2800,2.3134,0.5032,0.000580,0,100
137,1.7600,2.2558,0.5007,0.000865,0,100
138,2.5400,2.2198,0.4982,0.000586,1,100
139,2.1800,2.1858,0.4957,0.000592,0,100
140,1.8600,2.1550,0.4932,0.000543,0,100
141,2.4800,2.1084,0.4908,0.000872,0,100
142,2.0800,2.0968,0.4883,0.000602,0,100
143,1.8400,2.0872,0.4859,0.000743,0,100
144,1.7800,2.0706,0.4834,0.000564,0,100
145,1.9200,2.0524,0.4810,0.000410,0,100
146,2.6000,2.0592,0.4786,0.000395,1,100
147,2.2600,2.0668,0.4762,0.000739,0,100
148,1.9200,2.0812,0.4738,0.000659,0,100
149,2.2000,2.0850,0.4715,0.000383,0,100
150,1.9400,2.0862,0.4691,0.000338,0,100
151,2.1350,2.0956,0.4668,0.000484,0,100
152,2.2150,2.0916,0.4644,0.000540,0,100
153,4.5950,2.0882,0.4621,0.000526,1,100
154,2.2200,2.1171,0.4598,0.000457,0,100
155,2.2000,2.1523,0.4575,0.000799,0,100
156,4.1400,2.1880,0.4552,0.000276,0,100
157,1.8000,2.2358,0.4529,0.000587,0,100
158,2.6600,2.2741,0.4507,0.000376,1,100
159,2.8600,2.3259,0.4484,0.000351,1,100
160,2.1400,2.3842,0.4462,0.000942,1,100
161,2.1800,2.4436,0.4440,0.000606,0,100
162,1.9800,2.5070,0.4417,0.000851,0,100
163,3.6200,2.5666,0.4395,0.000464,0,100
164,2.0000,2.5890,0.4373,0.000592,0,100
165,2.1200,2.6047,0.4351,0.000732,0,100
166,2.3200,2.6169,0.4330,0.000556,1,100
167,1.9400,2.5954,0.4308,0.000666,0,100
168,1.7800,2.5800,0.4286,0.000570,0,100
169,2.0400,2.5483,0.4265,0.000766,0,100
170,2.1800,2.5019,0.4244,0.000814,0,100
171,1.7800,2.4538,0.4223,0.000596,0,100
172,2.1800,2.4013,0.4201,0.000584,0,100
173,1.9800,2.3532,0.4180,0.000957,0,100
174,2.4600,2.2984,0.4159,0.000383,0,100
175,2.2200,2.2504,0.4139,0.000667,0,100
176,2.0150,2.2042,0.4118,0.000460,0,100
177,2.1600,2.1731,0.4097,0.000422,0,100
178,2.5750,2.1429,0.4077,0.000656,0,100
179,2.3600,2.1294,0.4057,0.000349,0,100
180,1.7200,2.1273,0.4036,0.000543,0,100
181,2.4000,2.1202,0.4016,0.000318,0,100
182,1.6000,2.1233,0.3996,0.000274,0,100
183,4.0550,2.1186,0.3976,0.000342,0,100
184,2.2800,2.1511,0.3956,0.000973,0,100
185,2.7200,2.1771,0.3936,0.000432,1,100
186,3.8800,2.2071,0.3917,0.000530,0,100
187,2.5600,2.2589,0.3897,0.000836,0,100
188,1.4800,2.3124,0.3878,0.000470,0,100
189,4.3200,2.3471,0.3858,0.000550,1,100
190,1.6400,2.3981,0.3839,0.000715,0,100
191,2.1200,2.4530,0.3820,0.000623,0,100
192,2.3600,2.4988,0.3801,0.000405,0,100
193,4.1400,2.5581,0.3782,0.000641,0,100
194,2.2400,2.5974,0.3763,0.000637,0,100
195,2.1800,2.6382,0.3744,0.000399,0,100
196,2.1200,2.6685,0.3725,0.000350,0,100
197,2.3550,2.6626,0.3707,0.000352,0,100
198,1.8200,2.6507,0.3688,0.000305,0,100
199,2.4000,2.6531,0.3670,0.000532,0,100
200,2.1200,2.6167,0.3651,0.000291,0,100
201,2.2000,2.5859,0.3633,0.000361,0,100
202,2.3400,2.5587,0.3615,0.000247,0,100
203,2.1200,2.5237,0.3597,0.000645,0,100
204,2.4000,2.4676,0.3579,0.000491,0,100
205,2.3000,2.4136,0.3561,0.000330,0,100
206,2.1200,2.3661,0.3543,0.000346,0,100
207,2.2150,2.3363,0.3525,0.000431,0,100
208,2.2200,2.3071,0.3508,0.000226,0,100
209,4.1000,2.2785,0.3490,0.000437,0,100
210,2.3550,2.2861,0.3473,0.000568,0,100
211,2.3000,2.2912,0.3455,0.000236,0,100
212,2.2400,2.2966,0.3438,0.000293,0,100
213,2.3600,2.3011,0.3421,0.000257,0,100
214,2.1800,2.3283,0.3404,0.000422,0,100
215,3.0600,2.3516,0.3387,0.000190,1,100
216,1.9600,2.3814,0.3370,0.000530,0,100
217,2.3600,2.4095,0.3353,0.000182,0,100
218,2.9800,2.4405,0.3336,0.000215,1,100
219,4.4400,2.4751,0.3320,0.000263,0,100
220,2.7200,2.4961,0.3303,0.000299,1,100
221,2.0750,2.5184,0.3286,0.000233,0,100
222,2.5000,2.5375,0.3270,0.000225,1,100
223,1.9950,2.5601,0.3254,0.000273,0,100
224,2.3400,2.5767,0.3237,0.000336,0,100
225,2.6000,2.5971,0.3221,0.000374,0,100
226,2.2200,2.6053,0.3205,0.000235,0,100
227,2.0800,2.6177,0.3189,0.000247,0,100
228,2.4600,2.6259,0.3173,0.000312,0,100
229,1.6550,2.6212,0.3157,0.000245,0,100
230,2.3600,2.5853,0.3141,0.000161,0,100
231,2.5200,2.5422,0.3126,0.000551,1,100
232,2.2600,2.5057,0.3110,0.000252,0,100
233,2.7000,2.4643,0.3095,0.000392,1,100
234,1.9800,2.4335,0.3079,0.000176,0,100
235,2.2200,2.3976,0.3064,0.000246,0,100
236,2.6000,2.3624,0.3048,0.000223,0,100
237,2.0400,2.3285,0.3033,0.000361,0,100
238,2.2400,2.2969,0.3018,0.000387,1,100
239,2.3000,2.2684,0.3003,0.000241,0,100
240,2.2000,2.2741,0.2988,0.000435,0,100
241,2.0000,2.2819,0.2973,0.000526,0,100
242,2.0350,2.2800,0.2958,0.000297,0,100
243,4.1600,2.2782,0.2943,0.000295,0,100
244,2.2600,2.2840,0.2929,0.000308,0,100
245,2.3400,2.2962,0.2914,0.000330,0,100
246,2.9600,2.3134,0.2899,0.000210,1,100
247,2.4000,2.3304,0.2885,0.000268,0,100
248,2.6600,2.3514,0.2870,0.000366,0,100
249,2.4400,2.3788,0.2856,0.000202,0,100
250,2.7550,2.4012,0.2842,0.000217,0,100
251,2.4400,2.4307,0.2828,0.000277,0,100
252,2.0550,2.4698,0.2813,0.000209,0,100
253,1.4950,2.5113,0.2799,0.000170,0,100
254,2.3950,2.5116,0.2785,0.000285,0,100
255,2.1800,2.5105,0.2771,0.000290,0,100
256,2.3800,2.5065,0.2758,0.000395,0,100
257,2.7800,2.4932,0.2744,0.000395,1,100
258,2.0800,2.4800,0.2730,0.000224,0,100
259,2.2400,2.4569,0.2716,0.000314,0,100
260,3.1150,2.4303,0.2703,0.000392,1,100
261,1.9000,2.4018,0.2689,0.000338,0,100
262,2.2800,2.3635,0.2676,0.000301,0,100
263,2.1200,2.3273,0.2663,0.000243,1,100
