Episode 0/2169 | Avg Reward: 4.17 | Epsilon: 0.99 (Periodic Save)
Episode 50/2169 | Avg Reward: 4.74 | Epsilon: 0.77 (Periodic Save)
Episode 100/2169 | Avg Reward: 6.38 | Epsilon: 0.60 (Periodic Save)
Episode 150/2169 | Avg Reward: 7.68 | Epsilon: 0.47 (Periodic Save)
Episode 200/2169 | Avg Reward: 8.67 | Epsilon: 0.37 (Periodic Save)
Episode 250/2169 | Avg Reward: 9.57 | Epsilon: 0.28 (Periodic Save)
Episode 300/2169 | Avg Reward: 10.04 | Epsilon: 0.22 (Periodic Save)
Episode 350/2169 | Avg Reward: 10.61 | Epsilon: 0.17 (Periodic Save)
Episode 400/2169 | Avg Reward: 11.02 | Epsilon: 0.13 (Periodic Save)
Episode 450/2169 | Avg Reward: 11.29 | Epsilon: 0.10 (Periodic Save)
Episode 500/2169 | Avg Reward: 11.45 | Epsilon: 0.08 (Periodic Save)
Episode 550/2169 | Avg Reward: 11.67 | Epsilon: 0.06 (Periodic Save)
Episode 600/2169 | Avg Reward: 11.84 | Epsilon: 0.05 (Periodic Save)
Episode 650/2169 | Avg Reward: 11.86 | Epsilon: 0.05 (Periodic Save)
Episode 700/2169 | Avg Reward: 11.72 | Epsilon: 0.05 (Periodic Save)
Episode 750/2169 | Avg Reward: 11.92 | Epsilon: 0.05 (Periodic Save)
Episode 800/2169 | Avg Reward: 11.88 | Epsilon: 0.05 (Periodic Save)
Episode 850/2169 | Avg Reward: 11.89 | Epsilon: 0.05 (Periodic Save)
Episode 900/2169 | Avg Reward: 11.90 | Epsilon: 0.05 (Periodic Save)
Episode 950/2169 | Avg Reward: 11.78 | Epsilon: 0.05 (Periodic Save)
Episode 1000/2169 | Avg Reward: 11.76 | Epsilon: 0.05 (Periodic Save)
Episode 1050/2169 | Avg Reward: 11.91 | Epsilon: 0.05 (Periodic Save)
Episode 1100/2169 | Avg Reward: 11.84 | Epsilon: 0.05 (Periodic Save)
Episode 1150/2169 | Avg Reward: 11.80 | Epsilon: 0.05 (Periodic Save)
Episode 1200/2169 | Avg Reward: 11.86 | Epsilon: 0.05 (Periodic Save)
Episode 1250/2169 | Avg Reward: 11.79 | Epsilon: 0.05 (Periodic Save)
Episode 1300/2169 | Avg Reward: 11.81 | Epsilon: 0.05 (Periodic Save)
Episode 1350/2169 | Avg Reward: 11.70 | Epsilon: 0.05 (Periodic Save)
Episode 1400/2169 | Avg Reward: 11.89 | Epsilon: 0.05 (Periodic Save)
Episode 1450/2169 | Avg Reward: 11.73 | Epsilon: 0.05 (Periodic Save)
Episode 1500/2169 | Avg Reward: 11.83 | Epsilon: 0.05 (Periodic Save)
Episode 1550/2169 | Avg Reward: 11.89 | Epsilon: 0.05 (Periodic Save)
Episode 1600/2169 | Avg Reward: 11.77 | Epsilon: 0.05 (Periodic Save)
Episode 1650/2169 | Avg Reward: 11.82 | Epsilon: 0.05 (Periodic Save)
Episode 1700/2169 | Avg Reward: 11.83 | Epsilon: 0.05 (Periodic Save)
Episode 1750/2169 | Avg Reward: 11.73 | Epsilon: 0.05 (Periodic Save)
Episode 1800/2169 | Avg Reward: 11.78 | Epsilon: 0.05 (Periodic Save)
Episode 1850/2169 | Avg Reward: 11.87 | Epsilon: 0.05 (Periodic Save)
Episode 1900/2169 | Avg Reward: 11.84 | Epsilon: 0.05 (Periodic Save)
Episode 1950/2169 | Avg Reward: 11.84 | Epsilon: 0.05 (Periodic Save)
Episode 2000/2169 | Avg Reward: 11.86 | Epsilon: 0.05 (Periodic Save)
Episode 2050/2169 | Avg Reward: 11.86 | Epsilon: 0.05 (Periodic Save)
Episode 2100/2169 | Avg Reward: 11.83 | Epsilon: 0.05 (Periodic Save)
Episode 2150/2169 | Avg Reward: 11.81 | Epsilon: 0.05 (Periodic Save)
Episode 2168/2169 | Avg Reward: 11.86 | Epsilon: 0.05 (Periodic Save)
>>> Neural Training Engine Completed
