episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
0,4.1750,4.1750,0.9950,0.000157,0,250
1,3.6300,3.6300,0.9900,0.000110,0,250
2,4.1100,4.1100,0.9851,0.000292,0,250
3,4.1675,4.1675,0.9801,0.000167,0,250
4,4.4625,4.4625,0.9752,0.000209,0,250
5,3.9400,3.9400,0.9704,0.000211,0,250
6,4.2200,4.2200,0.9655,0.000160,1,250
7,4.0575,4.0575,0.9607,0.000225,1,250
8,3.5500,3.5500,0.9559,0.000244,0,250
9,4.2000,4.2000,0.9511,0.000158,0,250
10,3.7775,4.0542,0.9464,0.000161,0,250
11,3.5350,4.0378,0.9416,0.000195,0,250
12,4.1975,4.0478,0.9369,0.000426,1,250
13,3.9700,4.0517,0.9322,0.000334,1,250
14,3.6675,4.0487,0.9276,0.000368,0,250
15,4.4000,4.0290,0.9229,0.000312,1,250
16,3.8300,4.0166,0.9183,0.000282,0,250
17,3.7700,3.9984,0.9137,0.000222,0,250
18,3.9175,3.9778,0.9092,0.000282,0,250
19,4.1800,3.9670,0.9046,0.000466,0,250
20,4.0375,3.9543,0.9001,0.000225,0,250
21,3.7675,3.9482,0.8956,0.000233,0,250
22,4.1375,3.9454,0.8911,0.000237,0,250
23,4.7950,3.9411,0.8867,0.000194,1,250
24,4.7250,3.9470,0.8822,0.000200,0,250
25,4.3350,3.9715,0.8778,0.000255,0,250
26,4.0375,3.9907,0.8734,0.000277,0,250
27,4.2575,4.0159,0.8691,0.000316,0,250
28,4.2025,4.0488,0.8647,0.000453,0,250
29,4.6700,4.0809,0.8604,0.000244,2,250
30,4.1275,4.1181,0.8561,0.000115,0,250
31,4.4050,4.1536,0.8518,0.000431,0,250
32,4.5875,4.1931,0.8475,0.000504,0,250
33,4.2400,4.2378,0.8433,0.000301,0,250
34,5.1300,4.2686,0.8391,0.000362,2,250
35,4.9450,4.2930,0.8349,0.000269,0,250
36,4.0775,4.3240,0.8307,0.000378,0,250
37,3.9100,4.3534,0.8266,0.000179,0,250
38,4.2550,4.3745,0.8224,0.000214,0,250
39,4.4400,4.3932,0.8183,0.000256,0,250
40,5.2500,4.4047,0.8142,0.000092,0,250
41,4.6300,4.4266,0.8102,0.000490,0,250
42,5.1150,4.4443,0.8061,0.000222,0,250
43,5.6850,4.4628,0.8021,0.000192,1,250
44,4.3000,4.5013,0.7981,0.000393,0,250
45,4.8100,4.5275,0.7941,0.000219,0,250
46,5.4625,4.5462,0.7901,0.000483,1,250
47,5.3100,4.5783,0.7862,0.000366,1,250
48,4.5775,4.6279,0.7822,0.000331,0,250
49,4.5850,4.6803,0.7783,0.000482,0,250
