>>> Neural Training Engine Started [TASK: medium_delivery]
Episode 0/1500    | Avg Reward: 3.86 | Epsilon: 0.99 (Periodic Save)
Episode 50/1500   | Avg Reward: 2.29 | Epsilon: 0.77 (Periodic Save)
Episode 100/1500  | Avg Reward: 2.85 | Epsilon: 0.60 (Periodic Save)
Episode 150/1500  | Avg Reward: 3.13 | Epsilon: 0.47 (Periodic Save)
Episode 200/1500  | Avg Reward: 2.96 | Epsilon: 0.36 (Periodic Save)
Episode 250/1500  | Avg Reward: 3.38 | Epsilon: 0.28 (Periodic Save)
Episode 300/1500  | Avg Reward: 3.20 | Epsilon: 0.22 (Periodic Save)
Episode 350/1500  | Avg Reward: 3.73 | Epsilon: 0.17 (Periodic Save)
Episode 400/1500  | Avg Reward: 3.62 | Epsilon: 0.13 (Periodic Save)
Episode 450/1500  | Avg Reward: 3.59 | Epsilon: 0.10 (Periodic Save)
Episode 500/1500  | Avg Reward: 3.32 | Epsilon: 0.08 (Periodic Save)
Episode 550/1500  | Avg Reward: 3.73 | Epsilon: 0.06 (Periodic Save)
Episode 600/1500  | Avg Reward: 3.57 | Epsilon: 0.05 (Periodic Save)
Episode 650/1500  | Avg Reward: 3.60 | Epsilon: 0.05 (Periodic Save)
Episode 700/1500  | Avg Reward: 3.65 | Epsilon: 0.05 (Periodic Save)
Episode 750/1500  | Avg Reward: 3.70 | Epsilon: 0.05 (Periodic Save)
Episode 800/1500  | Avg Reward: 3.75 | Epsilon: 0.05 (Periodic Save)
Episode 850/1500  | Avg Reward: 3.80 | Epsilon: 0.05 (Periodic Save)
Episode 900/1500  | Avg Reward: 3.85 | Epsilon: 0.05 (Periodic Save)
Episode 950/1500  | Avg Reward: 3.90 | Epsilon: 0.05 (Periodic Save)
Episode 1000/1500 | Avg Reward: 3.95 | Epsilon: 0.05 (Periodic Save)
Episode 1050/1500 | Avg Reward: 4.00 | Epsilon: 0.05 (Periodic Save)
Episode 1100/1500 | Avg Reward: 4.05 | Epsilon: 0.05 (Periodic Save)
Episode 1150/1500 | Avg Reward: 4.10 | Epsilon: 0.05 (Periodic Save)
Episode 1200/1500 | Avg Reward: 4.15 | Epsilon: 0.05 (Periodic Save)
Episode 1250/1500 | Avg Reward: 4.20 | Epsilon: 0.05 (Periodic Save)
Episode 1300/1500 | Avg Reward: 4.25 | Epsilon: 0.05 (Periodic Save)
Episode 1350/1500 | Avg Reward: 4.30 | Epsilon: 0.05 (Periodic Save)
Episode 1400/1500 | Avg Reward: 4.35 | Epsilon: 0.05 (Periodic Save)
Episode 1450/1500 | Avg Reward: 4.40 | Epsilon: 0.05 (Periodic Save)
>>> Neural Training Engine Completed
