episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
0,3.8600,3.8600,0.9950,0.000078,0,150
1,1.8067,1.8067,0.9900,0.000035,0,150
2,3.9000,3.9000,0.9851,0.000042,0,150
3,1.7000,1.7000,0.9801,0.000041,0,150
4,1.7267,1.7267,0.9752,0.000028,0,150
5,1.6467,1.6467,0.9704,0.000022,0,150
6,1.7133,1.7133,0.9655,0.000021,0,150
7,2.0033,2.0033,0.9607,0.000074,0,150
8,1.8600,1.8600,0.9559,0.000046,0,150
9,2.0167,2.0167,0.9511,0.000026,0,150
10,1.9133,2.6838,0.9464,0.000022,0,150
11,2.1800,2.5007,0.9416,0.000200,1,150
12,3.8833,2.4239,0.9369,0.000056,0,150
13,2.0567,2.3115,0.9322,0.000058,0,150
14,4.5267,2.2398,0.9276,0.000054,1,150
15,4.2567,2.2179,0.9229,0.000112,0,150
16,1.8200,2.2380,0.9183,0.000043,0,150
17,2.1233,2.2696,0.9137,0.000057,0,150
18,3.9633,2.3065,0.9092,0.000064,0,150
19,1.8600,2.3693,0.9046,0.000082,0,150
20,1.9133,2.4328,0.9001,0.000080,0,150
21,1.9533,2.5157,0.8956,0.000176,0,150
22,1.9500,2.5927,0.8911,0.000095,0,150
23,3.7933,2.6505,0.8867,0.000092,0,150
24,1.6600,2.7221,0.8822,0.000184,0,150
25,3.9133,2.7370,0.8778,0.000050,0,150
26,2.3800,2.7224,0.8734,0.000228,0,150
27,2.4600,2.7124,0.8691,0.000088,1,150
28,1.8600,2.7045,0.8647,0.000086,0,150
29,2.2600,2.6545,0.8604,0.000170,1,150
30,4.1667,2.6101,0.8561,0.000321,0,150
31,2.0333,2.5882,0.8518,0.000267,0,150
32,1.6867,2.5694,0.8475,0.000148,0,150
33,1.9933,2.5673,0.8433,0.000074,0,150
34,1.9267,2.5299,0.8391,0.000194,0,150
35,2.0067,2.5237,0.8349,0.000095,0,150
36,1.8867,2.5020,0.8307,0.000198,0,150
37,1.9933,2.4697,0.8266,0.000097,0,150
38,2.0067,2.4293,0.8224,0.000066,0,150
39,2.2867,2.4115,0.8183,0.000113,0,150
40,4.4200,2.3899,0.8142,0.000118,1,150
41,1.9800,2.3484,0.8102,0.000123,0,150
42,2.0733,2.3055,0.8061,0.000170,0,150
43,1.7800,2.2691,0.8021,0.000097,0,150
44,2.0467,2.2485,0.7981,0.000167,0,150
45,2.1633,2.2265,0.7941,0.000088,0,150
46,1.9533,2.2252,0.7901,0.000058,0,150
47,1.9933,2.2294,0.7862,0.000179,0,150
48,4.0333,2.2383,0.7822,0.000161,0,150
49,2.1900,2.2660,0.7783,0.000232,0,150
50,2.0700,2.2925,0.7744,0.000151,0,150
51,1.6600,2.2929,0.7705,0.000225,0,150
52,1.9800,2.2907,0.7667,0.000358,0,150
53,2.3533,2.2836,0.7629,0.000384,0,150
54,4.2867,2.2845,0.7590,0.000074,0,150
55,2.0733,2.3065,0.7553,0.000236,0,150
56,2.1767,2.3261,0.7515,0.000222,0,150
57,4.1100,2.3472,0.7477,0.000139,0,150
58,2.2067,2.3895,0.7440,0.000127,0,150
59,4.8067,2.3933,0.7403,0.000226,1,150
60,2.3533,2.4242,0.7366,0.000137,0,150
61,2.3533,2.4814,0.7329,0.000252,0,150
62,2.3933,2.5488,0.7292,0.000116,0,150
63,2.0200,2.6212,0.7256,0.000130,0,150
64,2.1000,2.6846,0.7219,0.000140,0,150
65,2.6867,2.7037,0.7183,0.000114,1,150
66,2.1800,2.7298,0.7147,0.000151,0,150
67,2.0600,2.7537,0.7112,0.000255,0,150
68,2.3667,2.7360,0.7076,0.000253,0,150
69,2.2200,2.7381,0.7041,0.000161,0,150
70,2.5267,2.6882,0.7005,0.000142,1,150
71,2.4600,2.6372,0.6970,0.000253,0,150
72,2.2067,2.5804,0.6936,0.000230,0,150
73,2.1000,2.5175,0.6901,0.000108,0,150
74,2.1133,2.4588,0.6866,0.000383,0,150
75,2.0600,2.4220,0.6832,0.000189,0,150
76,4.1000,2.3729,0.6798,0.000285,0,150
77,2.3800,2.3429,0.6764,0.000196,0,150
78,2.2600,2.3367,0.6730,0.000231,0,150
79,2.4600,2.3277,0.6696,0.000117,0,150
80,2.4333,2.3471,0.6663,0.000251,0,150
81,2.7667,2.3637,0.6630,0.000243,1,150
82,4.0733,2.3824,0.6597,0.000281,0,150
83,4.7933,2.4216,0.6564,0.000121,1,150
84,2.4600,2.4869,0.6531,0.000163,0,150
85,2.4867,2.5556,0.6498,0.000347,1,150
86,2.6067,2.6348,0.6466,0.000451,1,150
87,2.5133,2.6799,0.6433,0.000310,0,150
88,1.9267,2.7231,0.6401,0.000407,0,150
89,2.2467,2.7640,0.6369,0.000111,0,150
90,4.4867,2.8004,0.6337,0.000176,0,150
91,2.6600,2.8583,0.6306,0.000167,1,150
92,2.1133,2.9120,0.6274,0.000175,0,150
93,2.2733,2.9275,0.6243,0.000326,0,150
94,4.1000,2.8908,0.6211,0.000297,0,150
95,2.3400,2.8671,0.6180,0.000264,0,150
96,4.2467,2.8376,0.6149,0.000237,0,150
97,2.4200,2.8395,0.6119,0.000401,0,150
98,2.0467,2.8391,0.6088,0.000296,0,150
99,2.7933,2.8432,0.6058,0.000388,1,150
100,2.4600,2.8549,0.6027,0.000218,0,150
101,2.4333,2.8259,0.5997,0.000541,0,150
102,2.5267,2.7956,0.5967,0.000220,0,150
103,2.3933,2.7891,0.5937,0.000253,0,150
104,2.8733,2.8089,0.5908,0.000246,1,150
105,2.5267,2.8001,0.5878,0.000405,0,150
106,4.4333,2.7947,0.5849,0.000374,0,150
107,4.2333,2.7747,0.5820,0.000456,0,150
108,2.3267,2.7737,0.5790,0.000367,0,150
109,2.2867,2.7744,0.5762,0.000720,0,150
110,2.5933,2.7645,0.5733,0.000350,0,150
111,2.4467,2.7763,0.5704,0.000494,0,150
112,2.4733,2.7904,0.5676,0.000459,0,150
113,2.4200,2.7999,0.5647,0.000339,0,150
114,2.7400,2.8084,0.5619,0.000595,0,150
115,2.5267,2.8279,0.5591,0.000160,0,150
116,2.2733,2.8455,0.5563,0.000246,0,150
117,2.9400,2.8396,0.5535,0.000391,1,150
118,2.4600,2.8027,0.5507,0.000405,0,150
119,4.3800,2.7643,0.5480,0.000129,0,150
120,2.5000,2.7519,0.5452,0.000370,0,150
121,2.1667,2.7372,0.5425,0.000176,0,150
122,2.4067,2.7196,0.5398,0.000191,0,150
123,2.5533,2.7019,0.5371,0.000375,0,150
124,2.4333,2.6852,0.5344,0.000280,0,150
125,4.4333,2.6668,0.5318,0.000310,0,150
126,2.8467,2.6675,0.5291,0.000299,1,150
127,2.3933,2.6955,0.5264,0.000261,0,150
128,4.6733,2.7309,0.5238,0.000300,0,150
129,4.6733,2.7872,0.5212,0.000253,0,150
130,2.4733,2.8255,0.5186,0.000479,0,150
131,2.6200,2.8644,0.5160,0.000274,0,150
132,4.6200,2.9107,0.5134,0.000093,0,150
133,2.4600,2.9797,0.5108,0.000283,0,150
134,6.9533,3.0465,0.5083,0.000516,1,150
135,2.4867,3.1616,0.5058,0.000332,0,150
136,2.4067,3.2381,0.5032,0.000282,0,150
137,2.6167,3.3045,0.5007,0.000425,0,150
138,2.4467,3.3786,0.4982,0.000219,0,150
139,2.6867,3.4083,0.4957,0.000136,0,150
140,2.3533,3.4152,0.4932,0.000278,0,150
141,5.0333,3.4212,0.4908,0.000242,1,150
142,2.7000,3.4468,0.4883,0.000242,0,150
143,4.4600,3.4310,0.4859,0.000253,0,150
144,3.1267,3.4362,0.4834,0.000443,0,150
145,2.5667,3.3579,0.4810,0.000369,0,150
146,2.7000,3.2998,0.4786,0.000503,0,150
147,1.8200,3.2491,0.4762,0.000242,0,150
148,2.5000,3.1882,0.4738,0.000455,0,150
149,2.5933,3.1501,0.4715,0.000291,0,150
150,2.4867,3.1310,0.4691,0.000281,0,150
151,2.6200,3.1143,0.4668,0.000101,0,150
152,2.7000,3.0494,0.4644,0.000139,1,150
153,2.4700,3.0037,0.4621,0.000182,0,150
154,2.5000,2.9181,0.4598,0.000456,0,150
155,2.6333,2.8645,0.4575,0.000422,0,150
156,2.5800,2.8108,0.4552,0.000356,0,150
157,2.6600,2.7529,0.4529,0.000135,0,150
158,2.6467,2.7114,0.4507,0.000208,0,150
159,2.5400,2.6709,0.4484,0.000211,0,150
160,4.6067,2.6307,0.4462,0.000161,0,150
161,2.5800,2.6104,0.4440,0.000306,0,150
162,2.7533,2.6138,0.4417,0.000111,0,150
163,2.5133,2.6178,0.4395,0.000157,0,150
164,2.4733,2.6421,0.4373,0.000229,0,150
165,2.6067,2.6724,0.4351,0.000341,0,150
166,2.4733,2.7018,0.4330,0.000286,0,150
167,2.9667,2.7313,0.4308,0.000204,1,150
168,2.4067,2.7554,0.4286,0.000150,0,150
